url,source_types,agency_ids,agency_name,agency_category,fy_min,fy_max,expected_rows
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0611.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,139
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0612.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,169
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0701.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,95
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0702.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,110
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0703.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,239
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0704.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2025,2025,33
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0705.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2025,2025,25
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0706.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2025,2025,55
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0707.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2025,2025,103
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/akita/sp/choutatsu/pdf/R4tekiseika4.pdf,warp_crawler,asdf_akita,秋田分屯基地,航空自衛隊,2022,2022,9
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/akita/sp/choutatsu/pdf/R4tekiseika5.pdf,warp_crawler,asdf_akita,秋田分屯基地,航空自衛隊,2022,2022,3
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/akita/sp/choutatsu/pdf/R4tekiseika6.pdf,warp_crawler,asdf_akita,秋田分屯基地,航空自衛隊,2022,2022,5
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/chitose/acs/04081777777.pdf,warp_crawler,asdf_chitose,千歳基地,航空自衛隊,2022,2022,33
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/chitose/acs/R4.12koukyoutyoutatu.pdf,warp_crawler,asdf_chitose,千歳基地,航空自衛隊,2022,2022,26
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/chitose/acs/koukyou0410.pdf,warp_crawler,asdf_chitose,千歳基地,航空自衛隊,2022,2022,38
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/chitose/acs/koukyouR4.6.pdf,warp_crawler,asdf_chitose,千歳基地,航空自衛隊,2022,2022,3
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/chitose/acs/koukyouchoutatsu0213.pdf,warp_crawler,asdf_chitose,千歳基地,航空自衛隊,2022,2022,24
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/chitose/acs/koukyouchoutatu050322.pdf,warp_crawler,asdf_chitose,千歳基地,航空自衛隊,2022,2022,39
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/chitose/acs/koukyoutyoutatu.pdf,warp_crawler,asdf_chitose,千歳基地,航空自衛隊,2022,2022,24
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/chitose/acs/koukyoutyoutatutekiseikahyou4.8.pdf,warp_crawler,asdf_chitose,千歳基地,航空自衛隊,2022,2022,21
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/chitose/acs/koukyoutyoutatutekiseikar4.4.pdf,warp_crawler,asdf_chitose,千歳基地,航空自衛隊,2022,2022,61
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/chitose/acs/koukyoutyoutatutekiseikar4.5.pdf,warp_crawler,asdf_chitose,千歳基地,航空自衛隊,2022,2022,32
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/chitose/acs/r406040720koukyou.pdf,warp_crawler,asdf_chitose,千歳基地,航空自衛隊,2022,2022,56
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/chitose/acs/tekiseiR4.11.pdf,warp_crawler,asdf_chitose,千歳基地,航空自衛隊,2022,2022,19
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/fuchu/acs/jyoho/5.3kekka.pdf,warp_crawler,asdf_fuchu,府中基地,航空自衛隊,2022,2022,7
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/fuchu/acs/jyoho/kisho04-j10kouji.pdf,warp_crawler,asdf_fuchu,府中基地,航空自衛隊,2022,2022,1
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/fuchu/acs/jyoho/kisho04-j6kouji.pdf,warp_crawler,asdf_fuchu,府中基地,航空自衛隊,2022,2022,1
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/fuchu/acs/jyoho/kisho04-j8kouji.pdf,warp_crawler,asdf_fuchu,府中基地,航空自衛隊,2022,2022,1
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/fuchu/acs/jyoho/kisho04-j9kouji.pdf,warp_crawler,asdf_fuchu,府中基地,航空自衛隊,2022,2022,1
https://warp.ndl.go.jp/20240715/20240715000000/https://www.mod.go.jp/asdf/fuchu/acs/jyoho/kisho05-j6kouji.pdf,warp_crawler,asdf_fuchu,府中基地,航空自衛隊,2023,2023,5
https://warp.ndl.go.jp/20240715/20240715000000/https://www.mod.go.jp/asdf/fuchu/acs/jyoho/kisho05-j7koujikekka.pdf,warp_crawler,asdf_fuchu,府中基地,航空自衛隊,2023,2023,1
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/gifu/acd/0410choutatsukouhyou_041208.pdf,warp_crawler,asdf_gifu,岐阜基地,航空自衛隊,2022,2022,17
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/gifu/acd/R0408keiyakukouhyou.pdf,warp_crawler,asdf_gifu,岐阜基地,航空自衛隊,2022,2022,12
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/gifu/acd/R407kouhyou_040830.pdf,warp_crawler,asdf_gifu,岐阜基地,航空自衛隊,2022,2022,13
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/gifu/acd/R411choutatsukouhyou_050105.pdf,warp_crawler,asdf_gifu,岐阜基地,航空自衛隊,2022,2022,9
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/gifu/acd/R412choutatsukouhyou_050211.pdf,warp_crawler,asdf_gifu,岐阜基地,航空自衛隊,2022,2022,9
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/gifu/acd/R501choutatsukouhyou_050310.pdf,warp_crawler,asdf_gifu,岐阜基地,航空自衛隊,2022,2022,16
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/gifu/acd/R502choutatsukouhyou_050410.pdf,warp_crawler,asdf_gifu,岐阜基地,航空自衛隊,2022,2022,20
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/gifu/acd/R503choutatsukouhyou_050510.pdf,warp_crawler,asdf_gifu,岐阜基地,航空自衛隊,2022,2022,6
https://warp.ndl.go.jp/20230715/20230715000000/https://www.mod.go.jp/asdf/gifu/acd/chotatsukouhyou_0409.pdf,warp_crawler,asdf_gifu,岐阜基地,航空自衛隊,2022,2022,8
https://warp.ndl.go.jp/20240715/20240715000000/https://www.mod.go.jp/asdf/gifu/acd/R505choutatsukouhyou_050628.pdf,warp_crawler,asdf_gifu,岐阜基地,航空自衛隊,2023,2023,14
https://warp.ndl.go.jp/20240715/20240715000000/https://www.mod.go.jp/asdf/gifu/acd/R506choutatsukouhyou_050718.pdf,warp_crawler,asdf_gifu,岐阜基地,航空自衛隊,2023,2023,18
https://warp.ndl.go.jp/20240715/20240715000000/https://www.mod.go.jp/asdf/gifu/acd/R507choutatsukouhyou_050817.pdf,warp_crawler,asdf_gifu,岐阜基地,航空自衛隊,2023,2023,24
